Latitude,Longitude,축종,발생두수,ID,종,카운트
36.1533392,128.6041672,벌-개량종,20,7171,애기똥풀,1
37.4679821,128.7981629,벌-개량종,250,2712,다래,1
36.3371588,127.8960781,벌-개량종,150,7030,애기똥풀,1
37.1712746,128.9669333,벌-개량종,230,705,개다래,1
36.7551344,128.1698493,벌-개량종,63,2623,다래,1
35.6789038,129.4305092,벌-개량종,7,723,개다래,1
35.6789038,129.4305092,벌-개량종,7,723,개다래,1
37.9018596,126.8377851,벌-개량종,1,99,갈참나무,1
37.178741,127.5891868,벌-개량종,5,232,갈참나무,1
36.605193,128.2073429,벌-개량종,1,3629,밤나무,1
35.3241616,128.4270594,벌-개량종,1,6622,아까시나무,1
37.146709,129.0483328,벌-개량종,170,7715,족제비싸리,1
37.8496926,126.9644347,벌-개량종,1,2440,다래,1
35.9213983,129.1566704,벌-개량종,8,7207,애기똥풀,1
36.4328334,128.0152246,벌-개량종,100,328,갈참나무,1
35.433975,127.6260086,벌-개량종,80,4569,산검양옻나무,1
36.7325426,128.1554979,벌-개량종,3,8810,초피나무,1
35.2480059,126.9756866,벌-개량종,1,560,개다래,1
35.3608443,128.4593874,벌-개량종,1,8915,피마자,1
35.2164841,126.5568892,벌-개량종,100,1966,굴참나무,1
37.2140877,129.3262249,벌-개량종,51,8877,초피나무,1
37.8708318,126.9915122,벌-개량종,1,4826,산초나무,1
35.6618261,129.4303147,벌-개량종,50,723,개다래,1
35.0389006,126.9988465,벌-개량종,1,6809,애기똥풀,1
37.7072744,128.9161633,벌-개량종,60,2722,다래,1
37.4392596,129.1784042,벌-개량종,40,1435,고욤나무,1
37.2140877,129.3262249,벌-개량종,20,8877,초피나무,1
37.2340491,129.1662579,벌-개량종,80,6135,신갈나무,1
37.3608544,129.1989029,벌-개량종,150,7725,족제비싸리,1
37.5847694,128.6407562,벌-개량종,40,1140,개옻나무,1
37.5847694,128.6407562,벌-개량종,30,1140,개옻나무,1
37.5847694,128.6407562,벌-개량종,29,1140,개옻나무,1
37.7376414,128.875436,벌-개량종,20,6653,아까시나무,2
36.8072658,127.4319402,벌-개량종,400,195,갈참나무,1
35.4196814,127.6117698,벌-개량종,15,500,감나무,1
36.3085008,128.2774354,벌-개량종,300,7107,애기똥풀,1
37.2132563,129.0268626,벌-개량종,180,5297,산초나무,1
38.1002164,127.749467,벌-개량종,50,4212,붉나무,1
35.5640875,127.2965426,벌-개량종,300,176,갈참나무,1
35.5640875,127.2965426,벌-개량종,30,176,갈참나무,1
36.139544,127.7420999,벌-개량종,58,507,감나무,1
36.8494311,127.6500498,벌-개량종,200,4171,붉나무,1
35.4993716,128.3894438,벌-개량종,380,8550,주름잎,1
35.7511633,128.6213796,벌-개량종,1,531,감나무,1
34.9916145,126.9880128,벌-개량종,1,6809,애기똥풀,1
36.8120935,128.6416647,벌-개량종,1,401,갈참나무,1
36.8929232,127.573778,벌-개량종,15,497,감나무,1
35.9489306,129.4207583,벌-개량종,30,4456,붉나무,1
36.4483495,128.3463791,벌-개량종,70,373,갈참나무,1
36.474209,128.362204,벌-개량종,150,373,갈참나무,1
37.6671652,127.967412,벌-개량종,30,4266,붉나무,1
36.428639,127.8227737,벌-개량종,400,285,갈참나무,1
35.5520282,127.7022051,벌-개량종,150,6992,애기똥풀,1
36.4964149,127.1175656,벌-개량종,1,2039,굴참나무,1
36.4345714,126.8771037,벌-개량종,100,1517,광대싸리,1
36.4345714,126.8771037,벌-개량종,100,1517,광대싸리,1
36.4345714,126.8771037,벌-개량종,100,1517,광대싸리,1
36.5938136,128.5571271,벌-개량종,1,3691,밤나무,1
35.0436072,127.112621,벌-개량종,1,8742,초피나무,1
35.6305091,127.3303778,벌-개량종,100,8433,주름잎,1
37.4493679,127.1022852,벌-개량종,20,805,개옻나무,1
35.4931652,127.2389306,벌-개량종,90,176,갈참나무,1
35.5798635,127.1981911,벌-개량종,50,176,갈참나무,1
37.3293308,126.918427,벌-개량종,2,4798,산초나무,1
36.6389298,128.2201196,벌-개량종,1,2373,누운주름잎,1
36.6839838,126.5831038,벌-개량종,50,1974,굴참나무,1
35.3363846,127.9217038,벌-개량종,3,2208,굴참나무,1
37.4531546,129.1559572,벌-개량종,70,1435,고욤나무,1
37.4579607,129.1460745,벌-개량종,200,421,갈참나무,1
37.6506105,126.8479415,벌-개량종,20,83,갈참나무,1
36.29654,126.8670582,벌-개량종,9,2002,굴참나무,1
36.9395457,127.997495,벌-개량종,80,4249,붉나무,2
36.0675456,128.2714806,벌-개량종,300,1829,광대싸리,1
35.1077764,127.2000409,벌-개량종,1,7942,졸참나무,1
38.2355632,127.9878123,벌-개량종,1,5967,신갈나무,1
36.6389298,128.2201196,벌-개량종,5,2373,누운주름잎,1
35.200009,126.9515173,벌-개량종,1,560,개다래,1
35.200009,126.9515173,벌-개량종,1,560,개다래,1
36.8308912,128.6942083,벌-개량종,2,401,갈참나무,1
35.6634688,128.4027436,벌-개량종,30,7669,족제비싸리,1
37.4358164,129.1399179,벌-개량종,60,1435,고욤나무,1
