Latitude,Longitude,축종,발생두수,ID
36.7403856,129.1983249,벌-재래종,7,6692
36.7181091,129.2462741,벌-재래종,3,5621
38.1453645,128.1335981,벌-재래종,4,648
36.1533392,128.6041672,벌-개량종,20,7171
36.4785066,129.1679121,벌-재래종,107,2743
37.4679821,128.7981629,벌-개량종,250,2712
36.8167104,129.2501549,벌-재래종,2,718
38.0087006,128.1617215,벌-재래종,4,5984
36.3371588,127.8960781,벌-개량종,150,7030
36.8144001,128.1482474,벌-재래종,18,8911
37.4472938,127.6700914,벌-재래종,6,6983
37.8560252,127.8469846,벌-재래종,26,629
37.6255406,127.93141,벌-재래종,1,4266
37.017043,128.8162766,벌-재래종,2,1162
37.1712746,128.9669333,벌-개량종,230,705
36.2954995,128.7889909,벌-재래종,3,397
36.7551344,128.1698493,벌-개량종,63,2623
37.4439367,127.6250917,벌-재래종,2,947
37.4472938,127.6700914,벌-재래종,4,6983
36.4785066,129.1679121,벌-재래종,107,2743
37.5710458,127.6416006,벌-재래종,7,2158
38.0087006,128.1617215,벌-재래종,1,5984
37.7264197,127.9160954,벌-재래종,1,3597
36.2945638,129.0464878,벌-재래종,9,7719
37.6170662,127.4871263,벌-재래종,1,1310
37.017043,128.8162766,벌-재래종,2,1162
36.7877626,129.2030091,벌-재래종,4,718
35.1986439,127.4529926,벌-재래종,106,7551
35.6789038,129.4305092,벌-개량종,7,723
35.6789038,129.4305092,벌-개량종,7,723
37.9018596,126.8377851,벌-개량종,1,99
37.497971,127.5050639,벌-재래종,9,3738
37.4615935,128.153439,벌-재래종,1,6568
36.9786453,128.85124,벌-재래종,60,1882
36.3321473,128.8067483,벌-재래종,1,2714
36.5095472,129.0923238,벌-재래종,8,2743
37.0060873,128.9653695,벌-재래종,6,1891
36.2891333,128.8180761,벌-재래종,2,535
37.8303719,127.8955118,벌-재래종,1,636
37.9429407,127.4806675,벌-재래종,7,1630
37.4250014,128.2967109,벌-재래종,1,662
36.7551344,128.1698493,벌-재래종,1,2623
36.4571359,129.3230741,벌-재래종,195,1925
