종,위도,경도,카운트
가시나무,126.191617,34.284933,1
가시나무,126.19884,34.282386,1
가시나무,127.4549167,34.95661389,1
갈졸참나무,124.7195281,37.96538889,1
갈졸참나무,127.2458861,37.50523889,1
갈졸참나무,127.3733889,37.41875,1
갈졸참나무,128.1010932,35.9882105,1
갈참나무,125.6961806,37.65626389,1
갈참나무,125.7066639,37.66891389,1
갈참나무,126.0445,34.89025,1
갈참나무,126.0725944,36.22341944,1
갈참나무,126.0964167,34.83886111,1
갈참나무,126.1582222,37.22877778,1
갈참나무,126.1861939,36.88408306,1
갈참나무,126.189453,37.677608,1
갈참나무,126.2341081,36.73671389,1
갈참나무,126.2659167,34.84555278,1
갈참나무,126.2916669,37.78111111,1
갈참나무,126.2960583,34.54386389,1
갈참나무,126.315,37.69333306,1
갈참나무,126.3209972,34.52121944,1
갈참나무,126.3284722,37.54808333,4
갈참나무,126.3316669,37.68666694,1
갈참나무,126.3338111,34.51123611,1
갈참나무,126.3391939,36.44455611,1
갈참나무,126.3503056,37.53333333,2
갈참나무,126.3523889,36.34567222,2
갈참나무,126.3607528,36.32873611,1
갈참나무,126.3927781,37.72166694,1
갈참나무,126.400675,36.78681111,1
갈참나무,126.4089439,36.71133306,1
갈참나무,126.410275,35.38750556,1
갈참나무,126.4141669,37.78,1
갈참나무,126.42,37.70722194,1
갈참나무,126.4281806,37.38066667,1
갈참나무,126.4394439,37.52472194,1
갈참나무,126.4405561,37.71333306,1
갈참나무,126.4422219,37.52527806,1
갈참나무,126.4502781,37.51916694,1
갈참나무,126.4516806,36.36026944,1
갈참나무,126.4517306,36.36049167,1
갈참나무,126.4545778,35.82547778,1
갈참나무,126.464375,34.52208611,1
갈참나무,126.4676667,35.04263889,1
갈참나무,126.4746417,37.26554722,1
갈참나무,126.4812,35.42578333,1
갈참나무,126.4839439,36.48408306,1
갈참나무,126.5284306,34.90409444,1
갈참나무,126.5491669,37.50388889,2
갈참나무,126.5525,35.19722222,1
갈참나무,126.5547222,35.19361111,1
갈참나무,126.5552781,37.50638889,1
갈참나무,126.5575,35.18777778,1
갈참나무,126.5633311,36.94370611,2
갈참나무,126.5680556,35.19694444,1
갈참나무,126.5928611,34.60597778,1
갈참나무,126.6027778,36.27472222,1
갈참나무,126.6037311,36.76749389,1
갈참나무,126.6086111,35.27333333,1
갈참나무,126.6107811,36.42221111,1
갈참나무,126.6133781,36.41163889,1
갈참나무,126.6153331,36.53019389,1
갈참나무,126.6159169,36.53036111,1
갈참나무,126.6174439,36.53027806,1
갈참나무,126.6211111,36.23027778,1
갈참나무,126.6275,36.85,1
갈참나무,126.6283333,36.22277778,1
갈참나무,126.6656528,36.45791111,1
갈참나무,126.6858333,34.35805556,1
갈참나무,126.6858722,35.29548889,1
갈참나무,126.6882917,37.42941667,1
갈참나무,126.6951311,37.77958611,1
갈참나무,126.7116667,37.13638889,1
갈참나무,126.7268611,35.36736111,1
갈참나무,126.7373331,36.943,1
갈참나무,126.7565561,37.7975,1
갈참나무,126.7617331,37.79373889,1
갈참나무,126.7666669,36.84166694,1
갈참나무,126.7699139,36.58546889,1
갈참나무,126.7797222,37.45722222,1
갈참나무,126.7812444,36.30836667,1
갈참나무,126.7825,36.88622194,1
갈참나무,126.790345,37.69234889,1
갈참나무,126.7977778,35.60888889,1
갈참나무,126.8104722,36.42852778,1
갈참나무,126.8172222,34.87125,1
갈참나무,126.8198417,37.09385278,1
갈참나무,126.8326944,37.36991667,1
갈참나무,126.8380556,34.61416667,1
갈참나무,126.8386194,35.01111944,1
갈참나무,126.8496222,36.15495,1
갈참나무,126.853,34.87280556,1
갈참나무,126.854705,37.542175,1
갈참나무,126.8571111,37.36725,1
갈참나무,126.8578611,35.01332778,1
갈참나무,126.858125,36.70313889,1
갈참나무,126.8592222,37.36972222,1
갈참나무,126.8605167,34.60715,1
갈참나무,126.8629139,37.88633306,1
갈참나무,126.8669278,35.01109167,1
갈참나무,126.8707444,35.00950556,1
갈참나무,126.8777778,36.05694444,1
갈참나무,126.8840833,37.36452778,1
갈참나무,126.9031111,34.87002778,1
갈참나무,126.9055556,36.09027778,1
갈참나무,126.9076781,36.52636389,1
갈참나무,126.9084444,36.42330556,1
갈참나무,126.9086667,34.90411111,1
갈참나무,126.9128611,34.90866667,1
갈참나무,126.9139781,36.52790806,1
갈참나무,126.9222472,37.186175,1
갈참나무,126.9321778,37.06333611,1
갈참나무,126.9386811,37.7353,1
갈참나무,126.9419719,37.60491694,1
갈참나무,126.9436111,37.60483306,1
갈참나무,126.9445556,36.20986111,1
갈참나무,126.95695,34.64046667,1
갈참나무,126.9605278,36.28536111,1
갈참나무,126.9836111,34.32333333,1
갈참나무,127.0049722,37.34802778,1
갈참나무,127.0066944,36.44358333,1
갈참나무,127.0101111,36.23672222,1
갈참나무,127.0117781,36.73645806,1
갈참나무,127.0130167,34.69168333,1
갈참나무,127.0155556,37.33908333,1
갈참나무,127.0183611,34.77486111,1
갈참나무,127.023,37.32994444,1
갈참나무,127.0277222,37.32641667,1
갈참나무,127.0408333,36.01722222,1
갈참나무,127.0444444,36.03888889,1
갈참나무,127.0538889,37.44305556,1
갈참나무,127.0577222,37.31436111,1
갈참나무,127.0644722,36.34916667,1
갈참나무,127.0711189,36.57007194,1
갈참나무,127.0778889,36.89291694,3
갈참나무,127.0911111,35.99166667,2
갈참나무,127.0911111,35.99666667,1
갈참나무,127.0922,37.94498111,1
갈참나무,127.0975556,34.92522222,1
갈참나무,127.101,37.07377222,1
갈참나무,127.1031939,36.87436111,1
갈참나무,127.1169472,37.13506389,1
갈참나무,127.1485556,35.17002778,1
갈참나무,127.1508611,36.01513889,1
갈참나무,127.1536111,38.12811111,1
갈참나무,127.1591669,36.55447194,1
갈참나무,127.177825,34.80211389,1
갈참나무,127.1806778,34.80080556,1
갈참나무,127.1857944,37.05279444,1
갈참나무,127.1905,37.21275278,1
갈참나무,127.1937219,36.83455611,1
갈참나무,127.1942778,37.36166667,2
갈참나무,127.1946389,37.36138889,1
갈참나무,127.1952778,34.72361111,1
갈참나무,127.2049111,37.72000806,1
갈참나무,127.205,36.31,2
갈참나무,127.2088889,36.29611111,1
갈참나무,127.211822,37.436703,1
갈참나무,127.2175333,35.28011667,1
갈참나무,127.2177778,36.29361111,1
갈참나무,127.22275,36.40727778,1
갈참나무,127.227098,37.450337,1
갈참나무,127.2280561,36.89783306,2
갈참나무,127.2387861,36.86833611,1
갈참나무,127.2388889,34.56361111,1
갈참나무,127.2428169,36.68766111,1
갈참나무,127.2430331,37.50396889,1
갈참나무,127.2446944,36.21911111,1
갈참나무,127.2565389,37.67458611,1
갈참나무,127.2608778,34.5579,1
갈참나무,127.2663889,37.34369444,1
갈참나무,127.2676944,37.4825,1
갈참나무,127.2687969,37.75857806,1
갈참나무,127.2769444,36.31583333,1
갈참나무,127.2770056,37.20511944,1
갈참나무,127.2816667,35.56527778,1
갈참나무,127.2829444,37.48122222,1
갈참나무,127.2874444,37.36597222,1
갈참나무,127.2898031,36.91845806,1
갈참나무,127.2901389,37.66652806,1
갈참나무,127.2969919,37.57191111,1
갈참나무,127.3028689,37.57051694,1
갈참나무,127.3029331,37.5713,1
갈참나무,127.3073806,34.79879722,1
갈참나무,127.3112081,36.96482194,2
갈참나무,127.3215917,34.95473333,1
갈참나무,127.3279167,37.48630556,1
갈참나무,127.3294583,36.04572778,1
갈참나무,127.3319444,34.63,1
갈참나무,127.3443219,36.86729389,1
갈참나무,127.3444472,37.07068889,1
갈참나무,127.3453167,35.26578333,1
갈참나무,127.34725,35.16947222,1
갈참나무,127.35,36.22861111,1
갈참나무,127.3502581,36.84701694,1
갈참나무,127.3613889,36.03944444,1
갈참나무,127.369,37.48936111,1
갈참나무,127.3716667,36.21555556,1
갈참나무,127.3733889,37.41875,1
갈참나무,127.3759722,38.19969444,1
갈참나무,127.377125,34.76392778,2
갈참나무,127.3772778,37.42002778,1
갈참나무,127.3835222,38.00989167,1
갈참나무,127.3852583,37.54305556,1
갈참나무,127.38775,37.41136111,1
갈참나무,127.3884719,37.66352806,1
갈참나무,127.395256,37.026494,1
갈참나무,127.396066,37.012128,1
갈참나무,127.402298,37.011895,1
갈참나무,127.4042781,37.69319389,1
갈참나무,127.4102811,37.70764389,1
갈참나무,127.4143222,38.06898889,1
갈참나무,127.4255917,34.51626667,1
갈참나무,127.4366667,34.69527778,1
갈참나무,127.44,36.19888889,1
갈참나무,127.4446111,38.03675,1
갈참나무,127.4508417,34.95708056,1
갈참나무,127.451361,37.152389,1
갈참나무,127.4613889,36.07722222,1
갈참나무,127.4623889,37.83705611,1
갈참나무,127.466504,37.15588,1
갈참나무,127.468216,37.156789,1
갈참나무,127.4941169,37.58684194,1
갈참나무,127.5117861,34.97530556,1
갈참나무,127.5273611,37.83011111,1
갈참나무,127.533632,36.049063,1
갈참나무,127.5437778,37.80625,1
갈참나무,127.5468333,36.45863889,1
갈참나무,127.555694,37.144556,1
갈참나무,127.555833,37.144194,1
갈참나무,127.5558611,37.77788889,1
갈참나무,127.556197,37.14948,1
갈참나무,127.556285,37.140739,1
갈참나무,127.55775,37.140361,1
갈참나무,127.558867,37.14485,1
갈참나무,127.5607222,36.23466667,1
갈참나무,127.561304,37.141298,1
갈참나무,127.5618056,37.04547222,1
갈참나무,127.5618278,36.83152222,1
갈참나무,127.5705278,37.06844444,1
갈참나무,127.5732222,37.07116667,1
갈참나무,127.5738,35.54355556,1
갈참나무,127.574171,37.07109,1
갈참나무,127.575029,37.050858,1
갈참나무,127.578123,37.060066,1
갈참나무,127.5893611,36.45611111,1
갈참나무,127.5899833,35.44993333,1
갈참나무,127.5936111,37.90222222,1
갈참나무,127.59675,37.92997222,1
갈참나무,127.6003889,34.81541111,1
갈참나무,127.6007222,36.23047222,1
갈참나무,127.6045,37.28508333,1
갈참나무,127.6045561,37.80597194,1
갈참나무,127.6048833,34.81271944,1
갈참나무,127.6081389,37.72277806,2
갈참나무,127.6236667,37.84333333,1
갈참나무,127.6322778,37.91961111,1
갈참나무,127.639,35.45618333,1
갈참나무,127.6390833,37.92563889,1
갈참나무,127.6391167,34.92670278,1
갈참나무,127.6420278,37.97594722,1
갈참나무,127.6430278,37.92975,1
갈참나무,127.6471944,34.94318889,1
갈참나무,127.6479167,37.93666667,1
갈참나무,127.6508061,37.93330611,1
갈참나무,127.6579444,37.15172222,1
갈참나무,127.6585528,37.15291667,1
갈참나무,127.6707778,37.09288889,3
갈참나무,127.6728889,36.47894444,1
갈참나무,127.6768889,37.14733333,1
갈참나무,127.6778056,37.08686111,1
갈참나무,127.6783061,37.65969389,4
갈참나무,127.6812778,37.15441667,2
갈참나무,127.6812833,36.83408889,1
갈참나무,127.68425,37.15288889,1
갈참나무,127.6856944,36.06229167,1
갈참나무,127.6885556,37.93788889,1
갈참나무,127.6915194,34.81706667,2
갈참나무,127.6924444,36.40663889,1
갈참나무,127.6943014,37.07226333,1
갈참나무,127.6982111,36.06735,1
갈참나무,127.6987972,34.82138889,1
갈참나무,127.7036222,36.81606111,1
갈참나무,127.7059031,35.71425611,1
갈참나무,127.7168333,36.41002778,1
갈참나무,127.719517,37.32065,1
갈참나무,127.7203367,37.07707667,2
갈참나무,127.7203975,37.07781222,3
갈참나무,127.7359861,37.04721944,2
갈참나무,127.7485556,37.07719444,2
갈참나무,127.7502778,35.24347222,1
갈참나무,127.7732139,34.68045556,1
갈참나무,127.7813333,36.23630556,1
갈참나무,127.7832778,37.07105556,3
갈참나무,127.784425,35.68735611,1
갈참나무,127.7940556,37.06186111,1
갈참나무,127.80075,36.07711111,1
갈참나무,127.8165169,35.583025,1
갈참나무,127.8251389,37.20941667,1
갈참나무,127.8267222,37.201,2
갈참나무,127.8350972,37.18218611,1
갈참나무,127.8392222,36.20455556,1
갈참나무,127.83925,36.20413889,1
갈참나무,127.8421944,36.19825,1
갈참나무,127.8435,36.20425,1
갈참나무,127.8483331,37.95211111,1
갈참나무,127.8504169,37.74130611,1
갈참나무,127.8509806,37.161975,1
갈참나무,127.8529194,34.99075,1
갈참나무,127.8547169,35.57464194,1
갈참나무,127.8558889,36.20113889,1
갈참나무,127.8579719,37.75244389,2
갈참나무,127.8586389,37.18538889,1
갈참나무,127.8611111,36.19513889,1
갈참나무,127.8611389,36.1965,1
갈참나무,127.8635,37.18361111,2
갈참나무,127.8636028,37.21375833,2
갈참나무,127.8645333,34.99529444,1
갈참나무,127.8728056,36.05722222,1
갈참나무,127.8872778,36.15513889,1
갈참나무,127.9168611,37.10836111,2
갈참나무,127.9212667,38.17420556,1
갈참나무,127.9256189,35.59576389,1
갈참나무,127.9460833,37.11333333,1
갈참나무,127.9625831,35.71522194,1
갈참나무,127.9647219,35.41586111,1
갈참나무,127.9648611,37.11969444,1
갈참나무,127.98,36.23980556,1
갈참나무,128.0028028,34.86878889,2
갈참나무,128.0085139,34.71821111,1
갈참나무,128.0132444,38.056675,1
갈참나무,128.0184167,36.08027778,1
갈참나무,128.0221444,34.84446389,1
갈참나무,128.0235556,36.08991667,1
갈참나무,128.0543331,35.67033306,1
갈참나무,128.0619722,36.16716667,1
갈참나무,128.0837222,36.18672222,1
갈참나무,128.0864167,36.19066667,1
갈참나무,128.08675,36.19119444,1
갈참나무,128.088638,36.655357,1
갈참나무,128.0904694,34.99813611,1
갈참나무,128.1002167,34.96931667,1
갈참나무,128.1009444,36.14155556,1
갈참나무,128.1075917,34.96469722,1
갈참나무,128.1222219,35.85833306,1
갈참나무,128.1425833,36.24316667,1
갈참나무,128.1426667,37.24690278,1
갈참나무,128.145538,36.696819,1
갈참나무,128.1678056,37.83438889,1
갈참나무,128.17125,35.09691667,1
갈참나무,128.1727944,38.04095278,1
갈참나무,128.1880281,35.76377806,1
갈참나무,128.1921639,35.74308611,1
갈참나무,128.202786,36.205836,1
갈참나무,128.2128389,35.52480306,1
갈참나무,128.2275,35.30833333,2
갈참나무,128.2710889,37.38219444,1
갈참나무,128.2887889,34.63648889,1
갈참나무,128.2929969,35.47311111,1
