Source,Target,Weight
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
5984,5984,0.0
5984,5984,0.0
5984,5984,0.0
5984,5984,0.0
6983,6983,0.0
6983,6983,0.0
6983,6983,0.0
629,629,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
6983,6983,0.0
6983,6983,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2158,2158,0.0
2158,2158,0.0
5984,5984,0.0
5984,5984,0.0
5984,5984,0.0
7719,7719,0.0
7719,7719,0.0
7719,7719,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
718,718,0.0
718,718,0.0
718,718,0.0
718,718,0.0
718,718,0.0
7551,7551,0.0
3738,3738,0.0
3738,3738,0.0
3738,3738,0.0
3738,3738,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2743,2743,0.0
2743,2743,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
636,636,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
662,662,0.0
662,662,0.0
662,662,0.0
662,662,0.0
662,662,0.0
662,662,0.0
662,662,0.0
2623,2623,0.0
2623,2623,0.0
2623,2623,0.0
2623,2623,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
3630,3630,0.0
5739,5739,0.0
5739,5739,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
7719,7719,0.0
7719,7719,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
2305,2305,0.0
5203,5203,0.0
5203,5203,0.0
5203,5203,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
3704,3704,0.0
176,176,0.0
176,176,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
8859,8859,0.0
8859,8859,0.0
8859,8859,0.0
8859,8859,0.0
5230,5230,0.0
5230,5230,0.0
5230,5230,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
1048,1048,0.0
663,663,0.0
663,663,0.0
975,975,0.0
975,975,0.0
975,975,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
3704,3704,0.0
662,662,0.0
