Id,x,y,종
7171,36.1533392,128.6041672,애기똥풀
2712,37.4679821,128.7981629,다래
7030,36.3371588,127.8960781,애기똥풀
705,37.1712746,128.9669333,개다래
2623,36.7551344,128.1698493,다래
723,35.6789038,129.4305092,개다래
723,35.6789038,129.4305092,개다래
99,37.9018596,126.8377851,갈참나무
232,37.178741,127.5891868,갈참나무
3629,36.605193,128.2073429,밤나무
6622,35.3241616,128.4270594,아까시나무
7715,37.146709,129.0483328,족제비싸리
2440,37.8496926,126.9644347,다래
7207,35.9213983,129.1566704,애기똥풀
328,36.4328334,128.0152246,갈참나무
4569,35.433975,127.6260086,산검양옻나무
8810,36.7325426,128.1554979,초피나무
560,35.2480059,126.9756866,개다래
8915,35.3608443,128.4593874,피마자
1966,35.2164841,126.5568892,굴참나무
8877,37.2140877,129.3262249,초피나무
4826,37.8708318,126.9915122,산초나무
723,35.6618261,129.4303147,개다래
6809,35.0389006,126.9988465,애기똥풀
2722,37.7072744,128.9161633,다래
1435,37.4392596,129.1784042,고욤나무
8877,37.2140877,129.3262249,초피나무
6135,37.2340491,129.1662579,신갈나무
7725,37.3608544,129.1989029,족제비싸리
1140,37.5847694,128.6407562,개옻나무
1140,37.5847694,128.6407562,개옻나무
1140,37.5847694,128.6407562,개옻나무
6653,37.7376414,128.875436,아까시나무
195,36.8072658,127.4319402,갈참나무
500,35.4196814,127.6117698,감나무
7107,36.3085008,128.2774354,애기똥풀
5297,37.2132563,129.0268626,산초나무
4212,38.1002164,127.749467,붉나무
176,35.5640875,127.2965426,갈참나무
176,35.5640875,127.2965426,갈참나무
507,36.139544,127.7420999,감나무
4171,36.8494311,127.6500498,붉나무
8550,35.4993716,128.3894438,주름잎
531,35.7511633,128.6213796,감나무
6809,34.9916145,126.9880128,애기똥풀
401,36.8120935,128.6416647,갈참나무
497,36.8929232,127.573778,감나무
4456,35.9489306,129.4207583,붉나무
373,36.4483495,128.3463791,갈참나무
373,36.474209,128.362204,갈참나무
4266,37.6671652,127.967412,붉나무
285,36.428639,127.8227737,갈참나무
6992,35.5520282,127.7022051,애기똥풀
