,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5,nearby_id_6,nearby_id_7,nearby_id_8,nearby_id_9,nearby_id_10,nearby_id_11,nearby_id_12,nearby_id_13,nearby_id_14,nearby_id_15,nearby_id_16,nearby_id_17,nearby_id_18,nearby_id_19,nearby_id_20,nearby_id_21,nearby_id_22,nearby_id_23,nearby_id_24,nearby_id_25,nearby_id_26,nearby_id_27,nearby_id_28
0,2.0,22.0,162.0,407.0,782.0,1078.0,1159.0,,,,,,,,,,,,,,,,,,,,,
1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,81.0,83.0,165.0,272.0,325.0,372.0,470.0,498.0,556.0,600.0,769.0,786.0,1016.0,1101.0,1105.0,1106.0,1107.0,1116.0,1120.0,1149.0,1157.0,,,,,,,
3,15.0,80.0,102.0,136.0,211.0,219.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,,,,
4,22.0,162.0,407.0,782.0,1078.0,1159.0,,,,,,,,,,,,,,,,,,,,,,
5,17.0,197.0,294.0,464.0,952.0,1001.0,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13.0,14.0,70.0,140.0,318.0,497.0,650.0,684.0,759.0,1081.0,,,,,,,,,,,,,,,,,,
8,31.0,110.0,112.0,237.0,241.0,348.0,655.0,875.0,943.0,,,,,,,,,,,,,,,,,,,
9,198.0,210.0,951.0,973.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,
10,21.0,26.0,51.0,55.0,62.0,89.0,311.0,336.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,805.0,1063.0,,,
11,27.0,30.0,46.0,181.0,206.0,214.0,231.0,263.0,680.0,682.0,,,,,,,,,,,,,,,,,,
12,8.0,14.0,70.0,140.0,318.0,684.0,759.0,1081.0,1123.0,1124.0,,,,,,,,,,,,,,,,,,
13,8.0,13.0,70.0,140.0,318.0,497.0,650.0,684.0,759.0,1081.0,,,,,,,,,,,,,,,,,,
14,4.0,80.0,102.0,136.0,211.0,219.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,,,,
15,187.0,221.0,248.0,329.0,365.0,424.0,430.0,885.0,,,,,,,,,,,,,,,,,,,,
16,6.0,197.0,294.0,464.0,952.0,1001.0,,,,,,,,,,,,,,,,,,,,,,
17,131.0,320.0,385.0,386.0,387.0,612.0,828.0,846.0,965.0,1004.0,,,,,,,,,,,,,,,,,,
18,44.0,100.0,640.0,1091.0,,,,,,,,,,,,,,,,,,,,,,,,
19,184.0,295.0,296.0,316.0,427.0,817.0,831.0,841.0,868.0,987.0,,,,,,,,,,,,,,,,,,
20,11.0,26.0,51.0,55.0,62.0,89.0,311.0,336.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,805.0,1063.0,,,
21,1.0,5.0,162.0,407.0,782.0,1078.0,1159.0,,,,,,,,,,,,,,,,,,,,,
22,565.0,566.0,567.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,91.0,114.0,170.0,260.0,441.0,686.0,697.0,721.0,733.0,761.0,1111.0,,,,,,,,,,,,,,,,,
24,42.0,43.0,63.0,265.0,396.0,412.0,460.0,481.0,504.0,506.0,532.0,543.0,570.0,608.0,636.0,,,,,,,,,,,,,
25,11.0,21.0,51.0,55.0,62.0,89.0,103.0,311.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,559.0,569.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,754.0,805.0,1063.0
26,12.0,30.0,46.0,122.0,181.0,206.0,214.0,231.0,263.0,661.0,680.0,682.0,848.0,1041.0,,,,,,,,,,,,,,
27,102.0,141.0,175.0,547.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,
