,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,17.0,,,,
5,7.0,23.0,,,
6,6.0,23.0,,,
7,,,,,
8,97.0,,,,
9,65.0,76.0,83.0,,
10,19.0,,,,
11,149.0,,,,
12,22.0,,,,
13,,,,,
14,,,,,
15,35.0,104.0,120.0,,
16,5.0,,,,
17,77.0,78.0,105.0,,
18,11.0,,,,
19,,,,,
20,27.0,,,,
21,13.0,,,,
22,6.0,7.0,,,
23,45.0,100.0,107.0,,
24,33.0,,,,
25,68.0,69.0,81.0,,
26,21.0,,,,
27,,,,,
28,,,,,
29,31.0,32.0,,,
30,30.0,32.0,,,
31,30.0,31.0,,,
32,25.0,91.0,,,
33,,,,,
34,16.0,104.0,120.0,,
35,,,,,
36,149.0,150.0,,,
37,127.0,,,,
38,40.0,103.0,,,
39,39.0,103.0,,,
40,,,,,
41,,,,,
42,,,,,
43,134.0,,,,
44,24.0,100.0,107.0,,
45,79.0,,,,
46,,,,,
47,,,,,
48,50.0,,,,
49,49.0,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,56.0,57.0,,,
55,55.0,57.0,,,
56,55.0,56.0,,,
57,,,,,
58,,,,,
59,102.0,103.0,133.0,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,10.0,76.0,83.0,,
65,90.0,92.0,,,
66,,,,,
67,26.0,69.0,81.0,,
68,26.0,68.0,81.0,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,10.0,65.0,83.0,,
76,18.0,78.0,105.0,,
77,18.0,77.0,105.0,,
78,46.0,,,,
79,,,,,
80,26.0,68.0,69.0,,
81,,,,,
82,10.0,65.0,76.0,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,89.0,,,,
88,88.0,,,,
89,66.0,92.0,,,
90,33.0,,,,
91,66.0,90.0,,,
92,,,,,
93,148.0,,,,
94,,,,,
95,,,,,
96,9.0,,,,
97,,,,,
98,,,,,
99,24.0,45.0,107.0,,
100,106.0,,,,
101,60.0,103.0,133.0,,
102,39.0,40.0,60.0,102.0,133.0
103,16.0,35.0,120.0,,
104,18.0,77.0,78.0,,
105,101.0,,,,
106,24.0,45.0,100.0,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,150.0,155.0,156.0,,
117,,,,,
118,,,,,
119,16.0,35.0,104.0,,
120,143.0,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,38.0,,,,
127,,,,,
128,130.0,136.0,,,
129,129.0,136.0,,,
130,,,,,
131,,,,,
132,60.0,102.0,103.0,,
133,44.0,,,,
134,,,,,
135,129.0,130.0,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,121.0,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,94.0,,,,
148,12.0,37.0,,,
149,37.0,117.0,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,117.0,156.0,,,
155,117.0,155.0,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
