종,위도,경도,카운트,ID
가시나무,126.191617,34.284933,1,1
가시나무,126.19884,34.282386,1,2
가시나무,127.4549167,34.95661389,1,3
갈졸참나무,124.7195281,37.96538889,1,4
갈졸참나무,127.2458861,37.50523889,1,5
갈졸참나무,127.3733889,37.41875,1,6
갈졸참나무,128.1010932,35.9882105,1,7
갈참나무,125.6961806,37.65626389,1,8
갈참나무,125.7066639,37.66891389,1,9
갈참나무,126.0445,34.89025,1,10
갈참나무,126.0725944,36.22341944,1,11
갈참나무,126.0964167,34.83886111,1,12
갈참나무,126.1582222,37.22877778,1,13
갈참나무,126.1861939,36.88408306,1,14
갈참나무,126.189453,37.677608,1,15
갈참나무,126.2341081,36.73671389,1,16
갈참나무,126.2659167,34.84555278,1,17
갈참나무,126.2916669,37.78111111,1,18
갈참나무,126.2960583,34.54386389,1,19
갈참나무,126.315,37.69333306,1,20
갈참나무,126.3209972,34.52121944,1,21
갈참나무,126.3284722,37.54808333,4,22
갈참나무,126.3316669,37.68666694,1,23
갈참나무,126.3338111,34.51123611,1,24
갈참나무,126.3391939,36.44455611,1,25
갈참나무,126.3503056,37.53333333,2,26
갈참나무,126.3523889,36.34567222,2,27
갈참나무,126.3607528,36.32873611,1,28
갈참나무,126.3927781,37.72166694,1,29
갈참나무,126.400675,36.78681111,1,30
갈참나무,126.4089439,36.71133306,1,31
갈참나무,126.410275,35.38750556,1,32
갈참나무,126.4141669,37.78,1,33
갈참나무,126.42,37.70722194,1,34
갈참나무,126.4281806,37.38066667,1,35
갈참나무,126.4394439,37.52472194,1,36
갈참나무,126.4405561,37.71333306,1,37
갈참나무,126.4422219,37.52527806,1,38
갈참나무,126.4502781,37.51916694,1,39
갈참나무,126.4516806,36.36026944,1,40
갈참나무,126.4517306,36.36049167,1,41
갈참나무,126.4545778,35.82547778,1,42
갈참나무,126.464375,34.52208611,1,43
갈참나무,126.4676667,35.04263889,1,44
갈참나무,126.4746417,37.26554722,1,45
갈참나무,126.4812,35.42578333,1,46
갈참나무,126.4839439,36.48408306,1,47
갈참나무,126.5284306,34.90409444,1,48
갈참나무,126.5491669,37.50388889,2,49
갈참나무,126.5525,35.19722222,1,50
갈참나무,126.5547222,35.19361111,1,51
갈참나무,126.5552781,37.50638889,1,52
갈참나무,126.5575,35.18777778,1,53
갈참나무,126.5633311,36.94370611,2,54
갈참나무,126.5680556,35.19694444,1,55
갈참나무,126.5928611,34.60597778,1,56
갈참나무,126.6027778,36.27472222,1,57
갈참나무,126.6037311,36.76749389,1,58
갈참나무,126.6086111,35.27333333,1,59
갈참나무,126.6107811,36.42221111,1,60
갈참나무,126.6133781,36.41163889,1,61
갈참나무,126.6153331,36.53019389,1,62
갈참나무,126.6159169,36.53036111,1,63
갈참나무,126.6174439,36.53027806,1,64
갈참나무,126.6211111,36.23027778,1,65
갈참나무,126.6275,36.85,1,66
갈참나무,126.6283333,36.22277778,1,67
갈참나무,126.6656528,36.45791111,1,68
갈참나무,126.6858333,34.35805556,1,69
갈참나무,126.6858722,35.29548889,1,70
